date,ticker,open,high,low,close,volume
2024-10-25,SYN01,193.7605,193.7605,186.5572,189.4967,10443577.0000
2024-10-28,SYN01,188.9044,188.9044,185.7892,186.7616,8568956.0000
2024-10-29,SYN01,184.6446,185.7556,175.9811,180.8684,5586537.0000
2024-10-30,SYN01,181.0297,181.7003,180.8558,181.2781,4741640.0000
2024-10-31,SYN01,186.4652,198.4928,180.3869,189.4398,3313851.0000
2024-11-01,SYN01,187.7305,190.6581,182.2959,186.4770,5602223.0000
2024-11-04,SYN01,183.5319,186.7632,178.8241,182.7937,6360629.0000
2024-11-05,SYN01,183.7015,188.9725,182.6178,185.7951,6243397.0000
2024-11-06,SYN01,187.2103,189.5183,186.5380,188.0282,6222155.0000
2024-11-07,SYN01,188.5582,192.4448,185.0208,188.7328,4341891.0000
2024-11-08,SYN01,185.3120,186.0887,180.1966,183.1427,6282372.0000
2024-11-11,SYN01,183.0700,185.4965,180.5491,183.0228,6343354.0000
2024-11-12,SYN01,184.5872,190.5242,184.0350,187.2796,10101057.0000
2024-11-13,SYN01,180.8984,182.3308,176.2594,179.2951,12357957.0000
2024-11-14,SYN01,177.5686,177.9836,175.3969,176.6903,6128789.0000
2024-11-15,SYN01,174.0397,174.0397,162.4742,166.1100,4917186.0000
2024-11-18,SYN01,164.2036,164.2036,154.4775,159.3121,6285213.0000
2024-11-19,SYN01,155.4310,155.4310,148.0095,150.0634,5198011.0000
2024-11-20,SYN01,149.5515,155.4674,142.4550,148.9612,4958442.0000
2024-11-21,SYN01,144.9536,145.0672,140.8689,142.9681,6299157.0000
2024-11-22,SYN01,143.3315,146.0627,142.5027,144.2827,4462847.0000
2024-11-25,SYN01,144.5523,146.4334,143.6990,145.0662,7949275.0000
2024-11-26,SYN01,144.6532,149.5037,138.9506,144.2272,6200147.0000
2024-11-27,SYN01,136.2002,136.2002,129.8417,132.8941,7017776.0000
2024-11-28,SYN01,131.3653,133.5616,127.6731,130.6173,6031009.0000
2024-11-29,SYN01,130.5215,132.6703,128.2295,130.4499,4984855.0000
2024-12-02,SYN01,130.7640,133.9419,128.0030,130.9725,4614288.0000
2024-12-03,SYN01,126.1113,126.4515,122.8086,124.6300,5917398.0000
2024-12-04,SYN01,123.5774,125.0299,120.4475,122.7387,5306207.0000
2024-12-05,SYN01,120.7085,120.7085,118.6612,118.9167,6978325.0000
2024-12-06,SYN01,116.9899,119.4864,112.2204,115.8534,6419834.0000
2024-12-09,SYN01,118.1936,123.4260,116.5158,119.9709,3991376.0000
2024-12-10,SYN01,118.1147,122.3909,111.3801,116.8855,6582640.0000
2024-12-11,SYN01,116.8344,119.3278,114.2652,116.7965,4018635.0000
2024-12-12,SYN01,118.2817,120.8875,118.2817,120.2528,5181923.0000
2024-12-13,SYN01,119.1325,119.1325,117.4947,118.0195,5800358.0000
2024-12-16,SYN01,117.7508,118.0079,117.2427,117.6253,3109922.0000
2024-12-17,SYN01,117.7741,118.7132,117.4579,118.0855,6639064.0000
2024-12-18,SYN01,118.2241,118.8622,117.8720,118.3671,6778715.0000
2024-12-19,SYN01,115.9477,116.2947,111.2296,113.7622,6083833.0000
2024-12-20,SYN01,113.8803,118.8585,109.3004,114.0794,5542426.0000
2024-12-23,SYN01,115.9175,119.2885,115.9175,119.2881,5641681.0000
2024-12-24,SYN01,117.6374,117.6374,111.8610,113.4485,4568361.0000
2024-12-25,SYN01,114.4818,117.0132,114.4818,116.7104,5850624.0000
2024-12-26,SYN01,116.9061,117.7077,116.6944,117.2011,5299059.0000
2024-12-27,SYN01,116.3261,116.8573,112.7575,114.8074,6639478.0000
2024-12-30,SYN01,120.2683,124.1281,120.2683,122.5895,4218568.0000
2024-12-31,SYN01,123.7843,127.6662,123.7640,125.7151,6982450.0000
2025-01-01,SYN01,122.6054,122.6054,120.0994,120.9260,6760319.0000
2025-01-02,SYN01,121.1394,122.8720,119.6416,121.2568,6118986.0000
2025-01-03,SYN01,122.9579,128.5346,118.6606,123.5976,5513622.0000
2025-01-06,SYN01,123.1917,128.4314,117.3192,122.8753,7801081.0000
2025-01-07,SYN01,125.0836,129.2815,122.0831,125.6823,3590648.0000
2025-01-08,SYN01,125.5870,126.1888,124.7061,125.4474,7554188.0000
